,year,movie,movie_id,certificate,duration,genre,rate,metascore,synopsis,votes,release_date,user_reviews,critic_reviews,popularity,awards_wins,awards_nominations
0,2001,Kate & Leopold,tt0035423,PG-13,118,Comedy|Fantasy|Romance,6.4000001,44.0,An English Duke from 1876 is inadvertedly dragged to modern day New York where he falls for a plucky advertising executive.,66660,2001-12-25,318.0,125.0,2363.0,1,4
1,2000,Chicken Run,tt0120630,G,84,Animation|Adventure|Comedy,7.0,88.0,"When a cockerel apparently flies into a chicken farm, the chickens see him as an opportunity to escape their evil owners.",144475,2000-06-23,361.0,186.0,2859.0,5,11
2,2005,Fantastic Four,tt0120667,PG-13,106,Action|Adventure|Family,5.69999981,40.0,"A group of astronauts gain superpowers after a cosmic radiation exposure and must use them to oppose the plans of their enemy, Doctor Victor Von Doom.",273203,2005-07-08,1008.0,278.0,1876.0,0,0
3,2002,Frida,tt0120679,R,123,Biography|Drama|Romance,7.400000099999999,61.0,"A biography of artist Frida Kahlo, who channeled the pain of a crippling injury and her tempestuous marriage into her work.",63852,2002-11-22,272.0,126.0,2508.0,2,12
4,2001,The Lord of the Rings: The Fellowship of the Ring,tt0120737,PG-13,178,Adventure|Drama|Fantasy,8.80000019,92.0,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle Earth from the Dark Lord Sauron.,1286275,2001-12-19,5078.0,296.0,204.0,26,67
5,2000,Mission: Impossible II,tt0120755,PG-13,123,Action|Adventure|Thriller,6.0999999,59.0,"A secret agent is sent to Sydney, to find and destroy a genetically modified disease called ""Chimera"".",249988,2000-05-24,1431.0,234.0,2153.0,1,2
6,2002,Resident Evil,tt0120804,R,100,Action|Horror|Sci-Fi,6.69999981,33.0,"A special military unit fights a powerful, out-of-control supercomputer and hundreds of scientists who have mutated into flesh-eating creatures after a laboratory accident.",204545,2002-03-15,1145.0,225.0,355.0,0,0
7,2000,X-Men,tt0120903,PG-13,104,Action|Adventure|Sci-Fi,7.400000099999999,64.0,Two mutants come to a private academy for their kind whose resident superhero team must oppose a terrorist organization with similar powers.,468351,2000-07-14,1406.0,289.0,655.0,0,3
8,2000,The Emperor's New Groove,tt0120917,G,78,Animation|Adventure|Comedy,7.30000019,70.0,"Emperor Kuzco is turned into a llama by his ex-administrator Yzma, and must now regain his throne with the help of Pacha, the gentle llama herder.",133781,2000-12-15,298.0,141.0,1332.0,2,7
9,2005,Corpse Bride,tt0121164,PG,77,Animation|Drama|Family,7.400000099999999,83.0,"When a shy groom practices his wedding vows in the inadvertent presence of a deceased young woman, she rises from the grave assuming he has married her.",197604,2005-09-23,477.0,266.0,2022.0,0,5
10,2002,Star Wars: Episode II - Attack of the Clones,tt0121765,PG,142,Action|Adventure|Fantasy,6.69999981,54.0,"Ten years after initially meeting, Anakin Skywalker shares a forbidden romance with Padmé, while Obi-Wan investigates an assassination attempt on the Senator and discovers a secret clone army crafted for the Jedi.",485730,2002-05-16,3531.0,291.0,544.0,0,6
11,2005,Star Wars: Episode III - Revenge of the Sith,tt0121766,PG-13,140,Action|Adventure|Fantasy,7.599999900000001,68.0,"Three years into the Clone Wars, the Jedi rescue Palpatine from Count Dooku. As Obi-Wan pursues a new threat, Anakin acts as a double agent between the Jedi Council and Palpatine and is lured into a sinister plan to rule the galaxy.",543318,2005-05-19,3303.0,356.0,387.0,2,7
12,2001,Shrek,tt0126029,PG,90,Animation|Adventure|Comedy,7.900000099999999,84.0,"After his swamp is filled with magical creatures, Shrek agrees to rescue Princess Fiona for a villainous lord in order to get his land back.",483447,2001-05-18,950.0,212.0,1064.0,9,22
13,2001,Planet of the Apes,tt0133152,PG-13,119,Action|Adventure|Sci-Fi,5.69999981,50.0,"An Air Force astronaut crash lands on a mysterious planet where evolved, talking apes dominate a race of primitive humans.",181213,2001-07-27,1369.0,230.0,1144.0,0,5
14,2002,Treasure Planet,tt0133240,PG,95,Animation|Adventure|Family,7.099999900000001,60.0,"A Disney animated version of ""Treasure Island"". The only difference is that the film is set in outer space with alien worlds and other galactic wonders.",74746,2002-11-27,219.0,127.0,2568.0,0,1
15,2000,Pitch Black,tt0134847,R,109,Horror|Sci-Fi,7.099999900000001,49.0,"A commercial transport ship and its crew are marooned on a planet full of bloodthirsty creatures that only come out to feast at night. But then, they learn that a month-long eclipse is about to occur.",197982,2000-02-18,808.0,211.0,1353.0,0,0
16,2001,Training Day,tt0139654,R,122,Crime|Drama|Thriller,7.69999981,69.0,"On his first day on the job as a Los Angeles narcotics officer, a rookie cop goes on a 24-hour training course with a rogue detective who isn't what he appears.",316040,2001-10-05,638.0,109.0,930.0,2,7
17,2000,U-571,tt0141926,PG-13,116,Action|War,6.599999900000001,62.0,A German submarine is boarded by disguised American submariners trying to capture their Enigma cipher machine.,66965,2000-04-21,608.0,178.0,3236.0,0,0
18,2000,American Psycho,tt0144084,R,102,Crime|Drama,7.599999900000001,64.0,"A wealthy New York investment banking executive hides his alternate psychopathic ego from his co-workers and friends as he delves deeper into his violent, hedonistic fantasies.",371133,2000-04-14,1071.0,284.0,515.0,0,3
19,2002,Spider-Man,tt0145487,PG-13,121,Action|Adventure,7.30000019,73.0,"When bitten by a genetically modified spider, a nerdy, shy, and awkward high school student gains spider-like abilities that he eventually must use to fight evil as a superhero after tragedy befalls his family.",561251,2002-05-03,2017.0,291.0,437.0,1,6
20,2001,Lara Croft: Tomb Raider,tt0146316,PG-13,100,Action|Adventure|Fantasy,5.69999981,33.0,Video game adventuress Lara Croft comes to life in a movie where she races against time and villains to recover powerful ancient artifacts.,161278,2001-06-15,827.0,198.0,2068.0,0,0
21,2000,High Fidelity,tt0146882,R,113,Comedy|Drama|Music,7.5,79.0,"Rob, a record store owner and compulsive list maker, recounts his top five breakups, including the one in progress.",146486,2000-03-31,604.0,175.0,2450.0,0,7
22,2000,The Flintstones in Viva Rock Vegas,tt0158622,PG,90,Comedy|Family|Romance,3.5999999,27.0,"In this live-action prequel to the 1994 comedy hit, the Flintstones and the Rubbles go on a trip to Rock Vegas, where Wilma is pursued by playboy Chip Rockefeller.",16035,2000-04-28,86.0,57.0,2495.0,0,0
23,2003,Cold Mountain,tt0159365,R,154,Adventure|Drama|History,7.19999981,73.0,"In the waning days of the American Civil War, a wounded soldier embarks on a perilous journey back home to Cold Mountain, North Carolina to reunite with his sweetheart.",120878,2003-12-25,678.0,196.0,779.0,5,35
24,2000,Charlie's Angels,tt0160127,PG-13,98,Action|Adventure|Comedy,5.5,52.0,"Three women, detectives with a mysterious boss, retrieve stolen voice-ID software, using martial arts, tech skills, and sex appeal.",148354,2000-11-03,643.0,179.0,2293.0,0,1
25,2001,Nowhere in Africa,tt0161860,R,141,Biography|Drama,7.69999981,72.0,A German Jewish refugee family moves to and adjusts to a farm life in 1930s Kenya.,10887,2003-05-16,84.0,73.0,,0,1
26,2000,Cast Away,tt0162222,PG-13,143,Adventure|Drama|Romance,7.69999981,73.0,A FedEx executive must transform himself physically and emotionally to survive a crash landing on a deserted island.,409544,2000-12-22,1060.0,222.0,690.0,6,15
