,year,movie,movie_id,certificate,duration,genre,rate,metascore,synopsis,votes,gross,user_reviews,critic_reviews,popularity,awards_wins,awards_nominations
0,2000,101 Reykjavík,tt0237993,Not Rated,88,"Comedy, Romance",6.9,68.0,"Will the 30 y.o. Hlynur ever move out of his mother's apartment in Reykjavík? Social welfare keeps him passive but things change when his mother's Spanish friend, Lola, arrives and stays through Xmas and New Year's Eve.",9001,12182.0,52.0,64.0,-1.0,9,11
1,2000,102 Dalmatians,tt0211181,G,100,Adventure|Comedy|Family,4.80000019,35.0,Cruella DeVil gets out of prison and goes after them darned puppies once more.,27364,66940000.0,77.0,83.0,,0,0
2,2000,28 Days,tt0191754,PG-13,103,"Comedy, Drama",6.0,46.0,A big-city newspaper columnist is forced to enter a drug and alcohol rehab center after ruining her sister's wedding and crashing a stolen limousine.,40572,37170488.0,202.0,118.0,-1.0,0,0
3,2000,3 Strikes,tt0199290,R,82,Comedy,4.5,11.0,"Brian Hooks plays a character who is just released from jail. And the state adopts a ""3 strikes"" rule for felons that involves serious penalties. Hooks has 2 strikes, and wants to change ...",2796,9821335.0,10.0,13.0,-1.0,0,0
4,2000,A Shot at Glory,tt0193854,R,114,"Drama, Sport",6.3,66.0,"Gordon McLeod is the manager of a second tier Scottish football team. Faced with pressure from his American owner, he is forced to bring on a marquee player to improve the fortunes of the ...",2007,-1.0,45.0,11.0,-1.0,0,0
5,2000,About Adam,tt0199314,R,97,"Comedy, Romance",5.9,64.0,"A waitress falls for a handsome customer who seduces her, her two sisters, her brother, and her brother's girlfriend.",6160,151559.0,56.0,37.0,-1.0,0,3
6,2000,All the Pretty Horses,tt0149624,PG-13,116,"Drama, Romance, Western",5.8,55.0,"Two Texas cowboys head to Mexico in search of work, but soon find themselves in trouble with the law after one of them falls in love with a wealthy rancher's daughter.",12397,15540353.0,184.0,86.0,-1.0,2,13
7,2000,Almost Famous,tt0181875,R,122,Adventure|Comedy|Drama,7.900000099999999,90.0,A high-school boy is given the chance to write a story for Rolling Stone Magazine about an up-and-coming rock band as he accompanies them on their concert tour.,212643,32520000.0,826.0,146.0,1002.0,22,55
8,2000,American Psycho,tt0144084,R,102,Crime|Drama,7.599999900000001,64.0,"A wealthy New York investment banking executive hides his alternate psychopathic ego from his co-workers and friends as he delves deeper into his violent, hedonistic fantasies.",371133,15050000.0,1071.0,284.0,515.0,0,3
9,2000,Amores Perros,tt0245712,R,154,Drama|Thriller,8.10000038,83.0,"A horrific car accident connects three stories, each involving characters dealing with loss, regret, and life's harsh realities, all in the name of love.",180554,5380000.0,362.0,157.0,2742.0,3,9
10,2000,Anatomie,tt0187696,R,103,"Horror, Thriller",6.1,33.0,"Medical student Paula Henning wins a place at an exclusive Heidelberg medical school. When the body of a young man she met on the train turns up on her dissection table, she begins to ...",11034,5725.0,109.0,44.0,-1.0,0,3
11,2000,Animal Factory,tt0204137,R,94,"Crime, Drama",6.6,65.0,"A young man goes to prison and a tough, older convict takes him under his wing as a mentor.",11932,43805.0,74.0,57.0,-1.0,0,0
