,movie,year
0,Bait (2000 film),2000
1,Beautiful (2000 film),2000
2,Beautiful People,2000
3,Bedazzled (2000 film),2000
4,Black and White (1999 drama film),2000
5,Boys and Girls (2000 film),2000
6,Cecil B. Demented,2000
7,Center Stage (2000 film),2000
8,Charlie's Angels (2000 film),2000
9,Chocolat (2000 film),2000
10,Crime and Punishment in Suburbia,2000
11,Disney's The Kid,2000
12,Drunken Master II,2000
13,Enter the Dragon,2000
14,Eye of the Beholder,2000
15,Fantasia 2000,2000
16,Funny Bones,2000
17,Get Carter (2000 film),2000
18,Gladiator (2000 film),2000
19,Godzilla 2000,2000
20,Gone in 60 Seconds (2000 film),2000
21,Gossip (2000 American film),2000
22,Hans Zimmer,2000
23,Held Up,2000
24,How the Grinch Stole Christmas (2000 film),2000
25,Liar Liar,2000
26,Mercy Streets,2000
27,Michael Jordan to the Max,2000
28,Mission: Impossible 2,2000
29,Mr. Accident,2000
30,North Sea Hijack,2000
31,Panic (2000 film),2000
32,Pokémon: The Movie 2000,2000
33,Price of Glory,2000
34,Saving Grace (2000 film),2000
35,Screwed (2000 film),2000
36,Shaft (2000 film),2000
37,Supernova (2000 film),2000
38,Tan Dun,2000
39,The Adventures of Rocky and Bullwinkle,2000
40,The Big Tease,2000
41,The Claim (2000 film),2000
42,The Contender (2000 film),2000
43,The Crew (2000 film),2000
44,The Exorcist,2000
45,The Gift (2000 film),2000
46,The In Crowd (2000 film),2000
47,The Ladies Man (2000 film),2000
48,The Miracle Worker (2000 film),2000
49,The Mirror Crack'd,2000
50,The Ninth Gate,2000
51,The Original Kings of Comedy,2000
52,The Patriot (2000 film),2000
53,The Virgin Suicides,2000
54,Traffic (2000 film),2000
55,Whatever It Takes (2000 film),2000
56,Where the Heart Is (2000 film),2000
57,Bandits (2001 film),2001
58,Behind Enemy Lines (2001 film),2001
59,Born Romantic,2001
60,Double Take (2001 film),2001
61,Down to Earth (2001 film),2001
62,Driven (2001 film),2001
63,Evolution (2001 film),2001
64,Halloween (1978 film),2001
